pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-1354,b,Kepler-1354 b,Transit,0,1,76.613377,0.0007773,-0.0007773,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.265,0.109,-0.045,0,2,,,,,0,0,1,0,19h24m58.84s,+37d45m32.6s,291.245187,1.7e-05,37.759052,1.7e-05,2,1057.0,409.26,-171.28,0,3,14.357,,0,Kepler-band,14.369,,0,6168.0,136.72,-202.44,0,4,1.16,0.16,-0.11,0,1,1.24,0.49,-0.19,0,4,1,2016-05-10,Kepler
Kepler-1355,b,Kepler-1355 b,Transit,0,1,1.28958811,3.5e-06,-3.5e-06,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.13,0.011,-0.009,0,2,,,,,0,0,1,0,18h54m57.94s,+49d04m04.7s,283.741416,1.9e-05,49.067978,1.7e-05,2,963.0,66.95,-55.8,0,3,15.471,,0,Kepler-band,15.452,,0,5352.0,68.59,-62.37,0,4,0.88,0.04,-0.04,0,1,0.83,0.06,-0.04,0,4,1,2016-05-10,Kepler
Kepler-1356,b,Kepler-1356 b,Transit,0,1,0.63400294,1.2e-06,-1.2e-06,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.136,0.01,-0.009,0,2,,,,,0,0,1,0,19h23m58.88s,+43d14m38.2s,290.995346,1.7e-05,43.243938,1.7e-05,2,881.0,49.91,-48.31,0,3,15.76,,0,Kepler-band,15.72,,0,5106.0,65.11,-84.13,0,4,0.82,0.04,-0.04,0,1,0.78,0.04,-0.04,0,4,1,2016-05-10,Kepler
Kepler-1357,b,Kepler-1357 b,Transit,0,1,3.0091324,1.52e-05,-1.52e-05,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.114,0.018,-0.01,0,2,,,,,0,0,1,0,19h26m11.54s,+50d21m11.9s,291.548094,2.2e-05,50.353313,1.7e-05,2,1026.0,155.71,-84.04,0,3,15.273,,0,Kepler-band,15.22,,0,5597.0,92.01,-91.12,0,4,0.93,0.05,-0.06,0,1,0.9,0.13,-0.07,0,4,1,2016-05-10,Kepler
Kepler-1358,b,Kepler-1358 b,Transit,0,1,7.06317341,2.9e-05,-2.9e-05,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.1,0.006,-0.009,0,2,,,,,0,0,1,0,19h04m40.93s,+43d00m32.1s,286.170543,1.7e-05,43.008911,1.7e-05,2,558.0,33.7,-37.43,0,3,14.572,,0,Kepler-band,14.54,,0,5181.0,58.32,-55.42,0,4,0.82,0.04,-0.05,0,1,0.79,0.04,-0.05,0,4,1,2016-05-10,Kepler
Kepler-1359,b,Kepler-1359 b,Transit,0,1,59.4970952,0.0005052,-0.0005052,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.252,0.04,-0.029,0,2,,,,,0,0,1,0,19h18m09.32s,+41d53m34.2s,289.538819,1.7e-05,41.892825,1.7e-05,2,669.0,24.7,-25.15,0,3,15.768,,0,Kepler-band,15.753,,0,4709.0,46.37,-55.6,0,4,0.78,0.03,-0.04,0,1,0.72,0.02,-0.02,0,4,1,2016-05-10,Kepler
Kepler-1360,b,Kepler-1360 b,Transit,0,1,40.5286413,0.0003328,-0.0003328,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.303,0.104,-0.068,0,2,,,,,0,0,1,0,20h01m22.58s,+45d37m23.6s,300.344076,1.7e-05,45.623219,1.7e-05,2,1405.0,468.74,-320.13,0,3,13.913,,0,Kepler-band,13.88,,0,6778.0,324.31,-343.47,0,4,1.51,0.23,-0.21,0,1,1.83,0.63,-0.41,0,4,1,2016-05-10,Kepler
Kepler-1361,b,Kepler-1361 b,Transit,0,1,3.57554956,2.329e-05,-2.329e-05,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.077,0.011,-0.011,0,2,,,,,0,0,1,0,18h54m15.68s,+46d54m15.3s,283.565314,2.5e-05,46.904255,1.7e-05,2,404.0,22.38,-21.27,0,3,13.93,,0,Kepler-band,13.917,,0,5131.0,55.23,-57.72,0,5,0.83,0.04,-0.04,0,1,0.79,0.04,-0.04,0,4,1,2016-05-10,Kepler
Kepler-1362,b,Kepler-1362 b,Transit,0,1,136.205626,0.001278,-0.001278,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.232,0.011,-0.017,0,2,,,,,0,0,1,0,19h14m09.25s,+40d52m37.6s,288.538542,1.9e-05,40.877113,1.7e-05,2,767.0,31.17,-30.74,0,3,15.839,,0,Kepler-band,15.825,,0,4857.0,51.17,-72.62,0,4,0.8,0.03,-0.04,0,1,0.74,0.03,-0.03,0,4,1,2016-05-10,Kepler
Kepler-1363,b,Kepler-1363 b,Transit,0,1,2.94194094,1.171e-05,-1.171e-05,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.112,0.008,-0.007,0,2,,,,,0,0,1,0,19h47m59.17s,+49d15m23.1s,296.996558,1.9e-05,49.256413,1.7e-05,2,559.0,31.05,-36.18,0,3,15.29,,0,Kepler-band,15.292,,0,4839.0,102.94,-109.75,0,4,0.76,0.04,-0.05,0,1,0.72,0.04,-0.04,0,4,1,2016-05-10,Kepler
