pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-166,c,Kepler-166 c,Transit,0,3,34.260281,0.000124,-0.000124,0,4,0.195,,,0,1,,,,,0,,,,,0,,,,,0,,0.212,0.11,-0.11,0,3,,,,,0,1,1,0,19h32m38.44s,+48d52m52.3s,293.160171,1.70E-05,48.881191,1.70E-05,2,614.16,7.56,-7.56,0,3,14.701,,0,Kepler-band,14.685,,0,5413,200,-200,0,6,,,,,1,0.74,0.38,-0.38,0,6,1,5/14/2014,Kepler
Kepler-167,b,Kepler-167 b,Transit,0,4,4.3931632,4.60E-06,-4.50E-06,0,5,0.0483,0.0017,-0.0025,0,2,0,,,0,1,89.33,0.47,-0.8,0,1,,,,,0,,0.144,0.004,-0.004,0,4,,,,,0,0,1,0,19h30m38.03s,+38d20m43.5s,292.658441,1.70E-05,38.345413,1.70E-05,2,330,10,-10,0,4,14.023,,0,Kepler-band,14,,0,4890,50,-50,0,7,0.77,0.02,-0.03,0,3,0.73,0.02,-0.01,0,7,1,3/10/2016,Kepler
Kepler-167,c,Kepler-167 c,Transit,0,4,7.406114,1.20E-05,-1.10E-05,0,5,0.0684,0.024,-0.0035,0,2,0,,,0,1,89.3,0.36,-0.43,0,1,,,,,0,,0.138,0.004,-0.004,0,4,,,,,0,0,1,0,19h30m38.03s,+38d20m43.5s,292.658441,1.70E-05,38.345413,1.70E-05,2,330,10,-10,0,4,14.023,,0,Kepler-band,14,,0,4890,50,-50,0,7,0.77,0.02,-0.03,0,3,0.73,0.02,-0.01,0,7,1,3/10/2016,Kepler
Kepler-168,b,Kepler-168 b,Transit,0,2,4.425391,3.30E-05,-3.30E-05,0,3,0.056,,,0,1,,,,,0,,,,,0,,,,,0,,0.13,0.059,-0.059,0,3,,,,,0,0,1,0,19h38m50.44s,+39d49m30.4s,294.710165,1.90E-05,39.825104,1.70E-05,2,1396,48.15,-48.15,0,3,14.606,,0,Kepler-band,14.605,,0,6282,200,-200,0,6,,,,,1,1.11,0.5,-0.5,0,6,1,5/14/2014,Kepler
Kepler-168,c,Kepler-168 c,Transit,0,2,13.193242,4.90E-05,-4.90E-05,0,4,0.116,,,0,1,,,,,0,,,,,0,,,,,0,,0.24,0.108,-0.108,0,3,,,,,0,0,1,0,19h38m50.44s,+39d49m30.4s,294.710165,1.90E-05,39.825104,1.70E-05,2,1396,48.15,-48.15,0,3,14.606,,0,Kepler-band,14.605,,0,6282,200,-200,0,6,,,,,1,1.11,0.5,-0.5,0,6,1,5/14/2014,Kepler
Kepler-169,b,Kepler-169 b,Transit,0,5,3.250619,1.30E-05,-1.30E-05,0,3,0.04,,,0,1,,,,,0,,,,,0,,,,,0,,0.101,0.007,-0.007,0,3,,,,,0,0,1,0,19h03m59.97s,+40d55m09.6s,285.999891,1.70E-05,40.919329,1.70E-05,2,411.34,3.05,-3.05,0,3,14.194,,0,Kepler-band,14.162,,0,4997,100,-100,0,6,,,,,2,0.76,0.05,-0.05,0,6,1,5/14/2014,Kepler
Kepler-169,c,Kepler-169 c,Transit,0,5,6.195469,2.90E-05,-2.90E-05,0,4,0.062,,,0,1,,,,,0,,,,,0,,,,,0,,0.108,0.007,-0.007,0,3,,,,,0,0,1,0,19h03m59.97s,+40d55m09.6s,285.999891,1.70E-05,40.919329,1.70E-05,2,411.34,3.05,-3.05,0,3,14.194,,0,Kepler-band,14.162,,0,4997,100,-100,0,6,,,,,2,0.76,0.05,-0.05,0,6,1,5/14/2014,Kepler
Kepler-169,d,Kepler-169 d,Transit,0,5,8.348125,4.10E-05,-4.10E-05,0,4,0.075,,,0,1,,,,,0,,,,,0,,,,,0,,0.112,0.008,-0.008,0,3,,,,,0,0,1,0,19h03m59.97s,+40d55m09.6s,285.999891,1.70E-05,40.919329,1.70E-05,2,411.34,3.05,-3.05,0,3,14.194,,0,Kepler-band,14.162,,0,4997,100,-100,0,6,,,,,2,0.76,0.05,-0.05,0,6,1,5/14/2014,Kepler
Kepler-169,e,Kepler-169 e,Transit,0,5,13.767102,3.40E-05,-3.40E-05,0,4,0.105,,,0,1,,,,,0,,,,,0,,,,,0,,0.196,0.026,-0.026,0,3,,,,,0,0,1,0,19h03m59.97s,+40d55m09.6s,285.999891,1.70E-05,40.919329,1.70E-05,2,411.34,3.05,-3.05,0,3,14.194,,0,Kepler-band,14.162,,0,4997,100,-100,0,6,,,,,2,0.76,0.05,-0.05,0,6,1,5/14/2014,Kepler
Kepler-169,f,Kepler-169 f,Transit,0,5,87.090195,0.000406,-0.000406,0,4,0.359,,,0,1,,,,,0,,,,,0,,,,,0,,0.23,0.021,-0.021,0,3,,,,,0,0,1,0,19h03m59.97s,+40d55m09.6s,285.999891,1.70E-05,40.919329,1.70E-05,2,411.34,3.05,-3.05,0,3,14.194,,0,Kepler-band,14.162,,0,4997,100,-100,0,6,,,,,2,0.76,0.05,-0.05,0,6,1,5/14/2014,Kepler
